Data;DTP - 01 ano(1º REF);Poliomielite(VOP/VIP)(1ºREF);FA(< 1 ano);Varicela;Tríplice Viral - D1;Rotavírus Humano;Pneumocóccica(1 ano);Menigocócica Conj.C(< 1 ano);Pentavalente (< 1 ano);Tríplice Viral - D2;Hepatite A;Pneumocóccica(<1 ano);BCG;Menigocócica Conj.C(1 ano);Poliomielite(< 1 ano);População;Região
01/12/2015;50,23;50,35;0,72;33,49;53,36;56,86;49,63;59,27;58,3;48,18;20;59,14;63,12;46,62;57,94;9962;321 - AMUNESC - JOINVILLE
01/08/2017;98,28;94,81;0,62;101,5;111,29;60,72;104,35;105,22;89,48;101,37;101,99;123,06;100,38;102,98;90,34;9683;315 - AMFRI - ITAJAI
01/10/2021;103,53;98,57;75,44;95,86;102,82;88,89;101,05;86,18;91,25;93,5;79,45;93,03;39,31;94,44;90,43;10165;317 - AMMVI - BLUMENAU
01/04/2015;101,44;111,17;102,03;107,59;134,79;146,3;128,83;134;131,81;111,17;131,22;135,19;185,81;136,18;131,02;6045;318 - AMOSC - CHAPECO
01/04/2020;104,98;90,12;85,6;105,3;110,15;134,05;92,71;99,81;87,86;105,95;100,78;131,79;176,04;104,98;97,23;3715;325 - AMVALI - JARAGUA DO SUL
01/11/2022;95,86;111,53;101,28;122,98;103,09;91,33;93,75;100,08;105,8;117,56;122,38;96,16;97,66;102,19;105,5;3981;312 - AMAVI - RIO DO SUL
01/09/2015;87,33;102,89;0,4;57,12;87,06;118,98;79,02;116,35;101,31;55,14;79,81;105,53;125,84;79,02;100,91;9097;315 - AMFRI - ITAJAI
01/03/2017;92,31;90,42;0,47;94,19;118,68;113,97;113,03;115,38;106,44;94,66;90,89;129,04;113,5;114,44;106,91;2548;314 - AMESC - ARARANGUA
01/04/2020;97,7;77,99;62,62;63,78;61,46;71,9;64,36;73,06;68,71;66,1;59,14;75,09;58,56;59,43;61,75;4139;310 - AMARP - VIDEIRA
01/05/2018;80,37;92,26;86,51;97,63;98,59;102,81;93,22;96,48;79,99;100,51;94,76;105,31;123,72;96,87;87,28;6256;318 - AMOSC - CHAPECO
01/04/2017;63,94;65,68;52,02;62,78;69,75;65,97;67,43;70,62;76,43;63,07;67,13;72,08;99,69;70,91;77,02;4129;323 - AMURES - LAGES
01/12/2022;72,88;72,88;63,82;80,57;71,97;89,17;67,9;94,61;92,34;74,24;72,88;93,25;85,55;65,18;91,89;2651;316 - AMMOC - JOACABA
01/09/2017;55,89;116;1,12;111,29;113,64;208,94;107,45;161,48;141,53;111,91;115,75;157,76;136,32;108,56;138,06;9683;315 - AMFRI - ITAJAI
01/12/2018;58,84;55,97;53,79;58,16;48,39;63,67;51,95;89,65;70,11;57,24;61,6;64,94;105,16;57,81;70,11;10441;321 - AMUNESC - JOINVILLE
01/10/2020;109,91;138,22;94,57;130,13;133,11;100,4;123,47;102,3;117,64;125,02;117,41;104,2;46,51;120,86;94,81;10088;317 - AMMVI - BLUMENAU
01/11/2017;97,49;88,54;0;95,13;111,15;111,15;92,78;115,86;120,09;89,01;101,26;124,33;72,06;97,49;123,86;2548;314 - AMESC - ARARANGUA
01/04/2016;102,2;1,94;84,91;85,3;105,89;93,07;89,18;92,29;92,1;90,16;95,01;98,7;79,66;105,12;86,27;6176;318 - AMOSC - CHAPECO
01/04/2019;82,2;89,58;88,6;93,03;106,32;102,87;108,78;104,35;94,01;93,03;96,47;103,36;102,87;105,82;95,49;2438;309 - AMAI - XANXERE
01/10/2017;80,5;77,89;70,04;68,01;90,97;91,26;87,77;98,23;98,81;69,46;80,21;113,34;90,97;89,8;96,2;4129;323 - AMURES - LAGES
01/04/2021;101,34;98,66;104,03;87,25;133,89;102,68;107,38;91,28;102,35;84,23;103,69;106,04;134,23;125,17;98,32;3576;325 - AMVALI - JARAGUA DO SUL
01/12/2019;5,88;53,62;66,4;65,61;63,57;77,6;60,86;75,23;19,57;66,86;63,01;80,77;89,14;57,81;78,28;10608;321 - AMUNESC - JOINVILLE
01/07/2015;88,26;86,25;0;44,63;92,77;92,27;84,25;100,79;89,26;45,63;98,29;90,76;72,21;91,27;81,24;2393;314 - AMESC - ARARANGUA
01/09/2016;78,07;107,2;1,24;91,83;70,27;127,15;79,44;149,21;153,8;91,46;93,81;137,06;106,33;77,95;148,47;9683;315 - AMFRI - ITAJAI
01/05/2017;97,93;101,23;81,02;106,67;119,11;101,42;105,7;88,8;81,22;107,25;106,87;95,79;123,96;107,06;81,99;6176;318 - AMOSC - CHAPECO
01/09/2018;69,49;66,8;49,05;84,79;57,93;93,08;64;52,44;87,82;85,61;73,81;96,7;80,82;35,39;82,92;10275;315 - AMFRI - ITAJAI
01/04/2016;92,42;0,87;59,87;93,58;90,97;84,28;67,72;86,03;85,15;93,87;79,05;85,15;118,87;94,74;85,44;4129;323 - AMURES - LAGES
